日付,自民党,希望の党,公明党,共産党,立憲民主党,日本維新の会,社民党,日本のこころ
9月25日,112854,73922,24270,50187,171,47155,9733,23902
9月26日,106013,68656,44519,40250,145,28212,5976,7564
9月27日,141845,280206,50148,91565,211,40660,13606,5436
9月28日,210248,346191,51491,154231,2743,38263,30906,3434
9月29日,172277,314759,23794,125947,1267,39292,29094,2904
9月30日,161255,295860,18428,101121,1304,60729,32944,5121
10月1日,159085,262956,26326,93247,1510,76374,29386,3431
10月2日,161839,260630,25374,84575,160089,61173,27328,2804
10月3日,177582,283511,42098,92131,247506,65315,30627,3295
10月4日,170383,310332,45928,97894,233771,60144,29687,2522
10月5日,171080,254452,41594,132164,237676,55374,32303,2928
10月6日,137653,276026,27804,109935,175645,45929,22612,2367
10月7日,128453,207797,22845,115832,183954,39256,23560,6126
10月8日,138191,145042,29708,173497,131387,45027,35259,11580
10月9日,180796,102422,38595,173374,142601,44158,32796,8604
10月10日,188838,126027,41824,140884,127273,79531,31280,14531
10月11日,202699,131757,34208,123630,100153,107985,31336,20220
10月12日,253141,108164,32321,137810,106338,69346,28708,15584
10月13日,187492,96806,26788,125676,113477,44461,21170,9190
10月14日,189796,85388,35641,137649,176860,44677,22138,9877
10月15日,199294,77935,46427,172246,188457,60121,32379,12969
10月16日,242595,91279,50938,193000,189956,58425,38269,14817
10月17日,244990,96189,39088,187124,173935,48106,26465,12329
10月18日,235237,93770,59351,206852,210725,47590,31646,7714
10月19日,246451,86071,53523,193105,253778,51710,29482,9871
10月20日,267226,71071,50248,187047,220964,59987,32275,13248
10月21日,356597,79238,57218,273419,321937,61487,42234,16257
10月22日,454881,126843,45015,148659,207244,50195,23443,9651
10月23日,478485,198893,66459,209731,267347,89244,44405,19398
10月24日,227857,90583,33987,120053,134659,47639,24245,12499
